CODEMP,REFERENCIA,MOVIMENTO_MES,SALDO_ACUMULADO
2,2022-10,165265.5,289477.83
2,2022-11,178591.28,468069.11
2,2022-12,158666.88,626735.99
2,2023-01,30845.2,657581.19
2,2023-02,112962.54,770543.73
2,2023-03,57063.88,827607.61
2,2023-04,-131515.86,696091.75
2,2023-05,-70818.15,625273.6
2,2023-06,81832.52,707106.12
2,2023-07,-9249.11,697857.01
2,2023-08,112058.19,809915.2
2,2023-09,75049.31,884964.51
2,2023-10,182560.52,1067525.03
2,2023-11,-144440.23,923084.8
2,2023-12,159295.1,1082379.9
2,2024-01,73937.7,1156317.6
2,2024-02,-24377.75,1131939.85
2,2024-03,-2657.6,1129282.25
2,2024-04,27884.9,1157167.15
2,2024-05,-304357.97,852809.18
2,2024-06,19742.2,872551.38
2,2024-07,-68137.92,804413.46
2,2024-08,32473.78,836887.24
2,2024-09,25502.02,862389.26
2,2024-10,-585.79,861803.47
2,2024-11,112709.04,974512.51
2,2024-12,97200.32,1071712.83
2,2025-01,-8632.81,1063080.02
2,2025-02,25257.93,1088337.95
2,2025-03,5169.08,1093507.03
2,2025-04,-128879.36,964627.67
2,2025-05,431.35,965059.02
2,2025-06,26277.32,991336.34
2,2025-07,5492.98,996829.32
2,2025-08,13571.01,1010400.33
2,2025-09,-51040.87,959359.46
2,2025-10,-7136.7,952222.76
2,2025-11,63028.33,1015251.09
2,2025-12,-73524.42,941726.67
2,2026-01,-4833.78,936892.89
2,2026-02,409.7,937302.59
2,2026-03,-47163.48,890139.11
4,2023-10,235.0,235.0
4,2023-11,-0.0,235.0
4,2023-12,-0.0,235.0
4,2024-01,1053.75,1288.75
4,2024-02,1009.77,2298.52
4,2024-03,-0.0,2298.52
4,2024-04,-0.0,2298.52
4,2024-05,-0.0,2298.52
4,2024-06,-0.0,2298.52
4,2024-07,-0.0,2298.52
4,2024-08,-0.0,2298.52
4,2024-09,-0.0,2298.52
4,2024-10,-0.0,2298.52
4,2024-11,-0.0,2298.52
4,2024-12,-0.0,2298.52
4,2025-01,-0.0,2298.52
4,2025-02,-0.0,2298.52
4,2025-03,-0.0,2298.52
4,2025-04,-0.0,2298.52
4,2025-05,-0.0,2298.52
4,2025-06,-0.0,2298.52
4,2025-07,-0.0,2298.52
4,2025-08,-0.0,2298.52
4,2025-09,-0.0,2298.52
4,2025-10,-0.0,2298.52
4,2025-11,-0.0,2298.52
4,2025-12,-0.0,2298.52
4,2026-01,-0.0,2298.52
4,2026-02,-0.0,2298.52
4,2026-03,-0.0,2298.52
6,2021-12,43328.42,43328.42
6,2022-01,76452.32,119780.74
6,2022-02,171256.26,291037.0
6,2022-03,119838.41,410875.41
6,2022-04,42827.18,453702.59
6,2022-05,34859.26,488561.85
6,2022-06,142028.51,630590.36
6,2022-07,73109.89,703700.25
6,2022-08,-26642.77,677057.48
6,2022-09,234183.59,911241.07
6,2022-10,65098.09,976339.16
6,2022-11,-33632.65,942706.51
6,2022-12,256009.0,1198715.51
6,2023-01,182200.49,1380916.0
6,2023-02,191595.09,1572511.09
6,2023-03,-1345.68,1571165.41
6,2023-04,163948.55,1735113.96
6,2023-05,174338.65,1909452.61
6,2023-06,175034.55,2084487.16
6,2023-07,129835.92,2214323.08
6,2023-08,238448.02,2452771.1
6,2023-09,265576.5,2718347.6
6,2023-10,289685.76,3008033.36
6,2023-11,163592.36,3171625.72
6,2023-12,175192.76,3346818.48
6,2024-01,209669.89,3556488.37
6,2024-02,176093.97,3732582.34
6,2024-03,-3167.31,3729415.03
6,2024-04,-18989.11,3710425.92
6,2024-05,-249669.82,3460756.1
6,2024-06,15919.33,3476675.43
6,2024-07,-19643.23,3457032.2
6,2024-08,229002.96,3686035.16
6,2024-09,10725.08,3696760.24
6,2024-10,-58016.4,3638743.84
6,2024-11,42784.83,3681528.67
6,2024-12,-3609289.93,72238.74
6,2025-01,-28575.93,43662.81
6,2025-02,34688.4,78351.21
6,2025-03,6149.12,84500.33
6,2025-04,-37548.44,46951.89
6,2025-05,-3540.45,43411.44
6,2025-06,107479.15,150890.59
6,2025-07,-50669.53,100221.06
6,2025-08,-3836.27,96384.79
6,2025-09,-6661.01,89723.78
6,2025-10,-57419.47,32304.31
6,2025-11,-4499.29,27805.02
6,2025-12,19260.87,47065.89
6,2026-01,21273.85,68339.74
6,2026-02,-12820.78,55518.96
6,2026-03,3813.83,59332.79
7,2022-12,267680.1,267680.1
7,2023-01,5048.71,272728.81
7,2023-02,-20117.08,252611.73
7,2023-03,133783.02,386394.75
7,2023-04,-63283.41,323111.34
7,2023-05,-29442.33,293669.01
7,2023-06,-44236.23,249432.78
7,2023-07,125472.5,374905.28
7,2023-08,-32095.07,342810.21
7,2023-09,-9073.66,333736.55
7,2023-10,-21167.13,312569.42
7,2023-11,49548.08,362117.5
7,2023-12,-30214.08,331903.42
7,2024-01,-3173.53,328729.89
7,2024-02,4726.9,333456.79
7,2024-03,-40457.13,292999.66
7,2024-04,10447.67,303447.33
7,2024-05,-200927.41,102519.92
7,2024-06,27007.04,129526.96
7,2024-07,-59713.14,69813.82
7,2024-08,113275.55,183089.37
7,2024-09,-5863.31,177226.06
7,2024-10,35857.05,213083.11
7,2024-11,-2111.1,210972.01
7,2024-12,42314.37,253286.38
7,2025-01,-80000.06,173286.32
7,2025-02,59937.14,233223.46
7,2025-03,-47308.25,185915.21
7,2025-04,34775.19,220690.4
7,2025-05,90797.99,311488.39
7,2025-06,-162269.06,149219.33
7,2025-07,49536.78,198756.11
7,2025-08,74203.94,272960.05
7,2025-09,-78851.12,194108.93
7,2025-10,61118.44,255227.37
7,2025-11,36530.73,291758.1
7,2025-12,-311.79,291446.31
7,2026-01,-25596.21,265850.1
7,2026-02,29469.89,295319.99
7,2026-03,28391.5,323711.49
11,2023-12,248.75,248.75
11,2024-01,-956.34,-707.59
11,2024-02,157377.54,156669.95
11,2024-03,-17913.63,138756.32
11,2024-04,-97770.55,40985.77
11,2024-05,-480104.0,-439118.23
11,2024-06,468053.11,28934.88
11,2024-07,-9262.27,19672.61
11,2024-08,-0.0,19672.61
11,2024-09,-5485.0,14187.61
11,2024-10,-0.0,14187.61
11,2024-11,-0.0,14187.61
11,2024-12,-13926.87,260.74
11,2025-01,-260.74,0.0
11,2025-02,-0.0,0.0
11,2025-03,-0.0,0.0
11,2025-04,-0.0,0.0
11,2025-05,203.42,203.42
11,2025-06,-203.42,0.0
11,2025-07,-0.0,0.0
11,2025-08,-0.0,0.0
11,2025-09,-0.0,0.0
11,2025-10,-0.0,0.0
11,2025-11,-0.0,0.0
11,2025-12,143.6,143.6
11,2026-01,-0.0,143.6
11,2026-02,-0.0,143.6
11,2026-03,-0.0,143.6
14,2024-01,25396.15,25396.15
14,2024-02,19363.47,44759.62
14,2024-03,18869.35,63628.97
14,2024-04,12963.15,76592.12
14,2024-05,7838.57,84430.69
14,2024-06,335986.48,420417.17
14,2024-07,-177189.88,243227.29
14,2024-08,-187441.31,55785.98
14,2024-09,17885.06,73671.04
14,2024-10,14684.03,88355.07
14,2024-11,-35008.91,53346.16
14,2024-12,-447298.11,-393951.95
14,2025-01,-0.0,-393951.95
14,2025-02,-0.0,-393951.95
14,2025-03,-0.0,-393951.95
14,2025-04,-0.0,-393951.95
14,2025-05,-0.0,-393951.95
14,2025-06,-0.0,-393951.95
14,2025-07,-0.0,-393951.95
14,2025-08,-0.0,-393951.95
14,2025-09,-0.0,-393951.95
14,2025-10,-0.0,-393951.95
14,2025-11,-0.0,-393951.95
14,2025-12,-0.0,-393951.95
14,2026-01,-0.0,-393951.95
14,2026-02,-0.0,-393951.95
14,2026-03,-0.0,-393951.95
15,2023-12,835979.93,835979.93
15,2024-01,-26197.77,809782.16
15,2024-02,13447.73,823229.89
15,2024-03,439226.72,1262456.61
15,2024-04,73589.3,1336045.91
15,2024-05,-105691.85,1230354.06
15,2024-06,-356723.28,873630.78
15,2024-07,6633.56,880264.34
15,2024-08,-11572.34,868692.0
15,2024-09,9727.38,878419.38
15,2024-10,29550.0,907969.38
15,2024-11,-4820.0,903149.38
15,2024-12,5625.2,908774.58
15,2025-01,-0.0,908774.58
15,2025-02,-0.0,908774.58
15,2025-03,-0.0,908774.58
15,2025-04,-0.0,908774.58
15,2025-05,-0.0,908774.58
15,2025-06,-0.0,908774.58
15,2025-07,-0.0,908774.58
15,2025-08,-0.0,908774.58
15,2025-09,-0.0,908774.58
15,2025-10,-0.0,908774.58
15,2025-11,-0.0,908774.58
15,2025-12,-0.0,908774.58
15,2026-01,-0.0,908774.58
15,2026-02,-0.0,908774.58
15,2026-03,-0.0,908774.58
16,2024-10,211.5,211.5
16,2024-11,-0.0,211.5
16,2024-12,-0.0,211.5
16,2025-01,-0.0,211.5
16,2025-02,-0.0,211.5
16,2025-03,-0.0,211.5
16,2025-04,-0.0,211.5
16,2025-05,-0.0,211.5
16,2025-06,-0.0,211.5
16,2025-07,-0.0,211.5
16,2025-08,-0.0,211.5
16,2025-09,-0.0,211.5
16,2025-10,-0.0,211.5
16,2025-11,-0.0,211.5
16,2025-12,-0.0,211.5
16,2026-01,-0.0,211.5
16,2026-02,-0.0,211.5
16,2026-03,-0.0,211.5
18,2025-01,5798614.49,5798614.49
18,2025-02,-0.0,5798614.49
18,2025-03,-0.0,5798614.49
18,2025-04,-0.0,5798614.49
18,2025-05,-0.0,5798614.49
18,2025-06,-0.0,5798614.49
18,2025-07,-728000.0,5070614.49
18,2025-08,-0.0,5070614.49
18,2025-09,-0.0,5070614.49
18,2025-10,-0.0,5070614.49
18,2025-11,-25000.0,5045614.49
18,2025-12,-0.0,5045614.49
18,2026-01,-0.0,5045614.49
18,2026-02,-0.0,5045614.49
18,2026-03,-0.0,5045614.49
600,2022-01,76452.32,76452.32
600,2022-02,171256.26,247708.58
600,2022-03,119838.41,367546.99
600,2022-04,42827.18,410374.17
600,2022-05,34859.26,445233.43
600,2022-06,142028.51,587261.94
600,2022-07,73109.89,660371.83
600,2022-08,-26642.77,633729.06
600,2022-09,234183.59,867912.65
600,2022-10,65098.09,933010.74
600,2022-11,-33632.65,899378.09
600,2022-12,256009.0,1155387.09
600,2023-01,-0.0,1155387.09
600,2023-02,-0.0,1155387.09
600,2023-03,-0.0,1155387.09
600,2023-04,-0.0,1155387.09
600,2023-05,-0.0,1155387.09
600,2023-06,-0.0,1155387.09
600,2023-07,-0.0,1155387.09
600,2023-08,-0.0,1155387.09
600,2023-09,-0.0,1155387.09
600,2023-10,-0.0,1155387.09
600,2023-11,-0.0,1155387.09
600,2023-12,-0.0,1155387.09
600,2024-01,-0.0,1155387.09
600,2024-02,-0.0,1155387.09
600,2024-03,-0.0,1155387.09
600,2024-04,-0.0,1155387.09
600,2024-05,-0.0,1155387.09
600,2024-06,-0.0,1155387.09
600,2024-07,-0.0,1155387.09
600,2024-08,-0.0,1155387.09
600,2024-09,-0.0,1155387.09
600,2024-10,-0.0,1155387.09
600,2024-11,-0.0,1155387.09
600,2024-12,-0.0,1155387.09
600,2025-01,-0.0,1155387.09
600,2025-02,-0.0,1155387.09
600,2025-03,-0.0,1155387.09
600,2025-04,-0.0,1155387.09
600,2025-05,-0.0,1155387.09
600,2025-06,-0.0,1155387.09
600,2025-07,-0.0,1155387.09
600,2025-08,-0.0,1155387.09
600,2025-09,-0.0,1155387.09
600,2025-10,-0.0,1155387.09
600,2025-11,-0.0,1155387.09
600,2025-12,-0.0,1155387.09
600,2026-01,-0.0,1155387.09
600,2026-02,-0.0,1155387.09
600,2026-03,-0.0,1155387.09
888,2023-12,835979.93,835979.93
888,2024-01,-801.62,835178.31
888,2024-02,32811.2,867989.51
888,2024-03,458096.07,1326085.58
888,2024-04,86552.45,1412638.03
888,2024-05,-97853.28,1314784.75
888,2024-06,-20736.8,1294047.95
888,2024-07,-170556.32,1123491.63
888,2024-08,-199013.65,924477.98
888,2024-09,27612.44,952090.42
888,2024-10,44234.03,996324.45
888,2024-11,-39828.91,956495.54
888,2024-12,-441672.91,514822.63
888,2025-01,-0.0,514822.63
888,2025-02,-0.0,514822.63
888,2025-03,-0.0,514822.63
888,2025-04,-0.0,514822.63
888,2025-05,-0.0,514822.63
888,2025-06,-0.0,514822.63
888,2025-07,-0.0,514822.63
888,2025-08,-0.0,514822.63
888,2025-09,-0.0,514822.63
888,2025-10,-0.0,514822.63
888,2025-11,-0.0,514822.63
888,2025-12,-0.0,514822.63
888,2026-01,-0.0,514822.63
888,2026-02,-0.0,514822.63
888,2026-03,-0.0,514822.63
999,2021-12,2190135.05,2190135.05
999,2022-01,6263857.61,8453992.66
999,2022-02,3075582.51,11529575.17
999,2022-03,-7741952.49,3787622.68
999,2022-04,-974745.8,2812876.88
999,2022-05,-39481.36,2773395.52
999,2022-06,-963416.39,1809979.13
999,2022-07,3616203.06,5426182.19
999,2022-08,-359326.7,5066855.49
999,2022-09,-1076511.05,3990344.44
999,2022-10,1031209.05,5021553.49
999,2022-11,955.49,5022508.98
999,2022-12,5065900.56,10088409.54
999,2023-01,-6301527.93,3786881.61
999,2023-02,392351.68,4179233.29
999,2023-03,234716.88,4413950.17
999,2023-04,-534980.07,3878970.1
999,2023-05,-230969.5,3648000.6
999,2023-06,222915.54,3870916.14
999,2023-07,-161041.52,3709874.62
999,2023-08,724420.27,4434294.89
999,2023-09,383722.98,4818017.87
999,2023-10,518846.58,5336864.45
999,2023-11,-579795.95,4757068.5
999,2023-12,-967586.52,3789481.98
999,2024-01,85248.67,3874730.65
999,2024-02,-11632.34,3863098.31
999,2024-03,-369060.54,3494037.77
999,2024-04,-316370.6,3177667.17
999,2024-05,-1006245.41,2171421.76
999,2024-06,-18547.5,2152874.26
999,2024-07,-253051.6,1899822.66
999,2024-08,93497.39,1993320.05
999,2024-09,45011.49,2038331.54
999,2024-10,-91533.81,1946797.73
999,2024-11,195212.33,2142010.06
999,2024-12,-182698.05,1959312.01
999,2025-01,-15716.89,1943595.12
999,2025-02,-193754.67,1749840.45
999,2025-03,-308494.04,1441346.41
999,2025-04,-103890.08,1337456.33
999,2025-05,168366.95,1505823.28
999,2025-06,102922.25,1608745.53
999,2025-07,159987.57,1768733.1
999,2025-08,257979.3,2026712.4
999,2025-09,-452951.53,1573760.87
999,2025-10,52721.6,1626482.47
999,2025-11,100749.5,1727231.97
999,2025-12,-239237.38,1487994.59
999,2026-01,9336.99,1497331.58
999,2026-02,41845.01,1539176.59
999,2026-03,-104327.67,1434848.92
